"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"AMP-TM2PJ","TM2PJ","Amphenol Mono Jack diecast, Thermoplastic Back, Satin, L JAWS","0","R 106.00"
"AMP-TS3P","TS3P","Amphenol Stereo Jack Thermo Back Sil Case","730","R 112.00"
"AMP-TS3PB","TS3PB","Amphenol Stereo Jack Thermo Back Blck Case","0","R 113.00"
"AMP-TS3PBJ","TS3PBJ","Amphenol Stereo Jack Thermo Back Blck Case Large Clamp","0","R 113.00"
"AMP-TS3PJ","TS3PJ","Amphenol Stereo Jack Thermo Back Sil Case Large Clamp","0","R 112.00"
"APT-AL-DL062FR","AL-DL062FR","Appotronics 0.62:1 Short Throw Fixed Lens (for D Series)","0","R 20,513.00"
"APT-AL-DL080FR","AL-DL080FR","Appotronics 0.80:1 Short Throw Fixed Lens (for D Series)","0","R 20,513.00"
"APT-AL-DL123MA","AL-DL123MA","Appotronics 1.23-1.97:1 Zoom (Standard) Lens (for D Series)","0","R 6,411.00"
"APT-AL-DU735A","AL-DU735A","Appotronics D Pro Series 7300lm, 1920*1080, 1-chip DLP ALPD, Powered Lens Shift, 3D-sync,Geometric Keystone, incl 1.23-1.97:1 standard zoom lens","0","R 112,180.00"
"APT-AL-DU835A","AL-DU835A","Appotronics D Pro Series 8300lm, 1920*1080, 1-chip DLP ALPD, Powered Lens Shift, 3D-sync,Geometric Keystone, incl 1.23-1.97:1 standard zoom lens","0","R 123,718.00"
"APT-AL-DU935A","AL-DU935A","Appotronics D Pro Series 9300lm, 1920*1080, 1-chip DLP ALPD, Powered Lens Shift, 3D-sync,Geometric Keystone, incl 1.23-1.97:1 standard zoom lens","0","R 131,411.00"
"APT-AL-MK650A","AL-MK650A","Appotronics M Series 6500lm, 3840*2160, Powered Interchangeable Lens, AI PQ, Advanced geo-corrections, incl 1.0-1.6:1 standard zoom lens","0","R 108,975.00"
"APT-AL-MK750A","AL-MK750A","Appotronics M Series 7500lm, 3840*2160, Powered Interchangeable Lens, AI PQ, Advanced geo-corrections, incl 1.0-1.6:1 standard zoom lens","1","R 118,590.00"
"APT-AL-ML050FR","AL-ML050FR","Appotronics 0.5:1 Short Throw Zoom (for M Series)","0","R 13,142.00"
